item,frequency(N30K600),frequency(N60K1200),frequency(N90K1800),frequency(N120K2400),frequency(N150K3000),frequency(N180K3600),frequency(N210K4200),frequency(N240K4800)
Home Style searches,80,70,15,65,10,10,70,65
Outfit ideas,35,35,5,30,20,5,10,15
People of the Red Carpet,75,30,60,5,10,30,10,5
Professional Sports Scores,55,15,35,10,10,5,10,10
Trip to...,395,355,30,355,35,10,5,355
Como...,25,5,5,5,5,5,5,5
Donde...,55,15,40,15,15,5,10,5
Peliculas,340,85,285,70,5,70,25,70
Que es...,25,20,5,15,5,5,15,15
Tin Tức,35,30,35,25,15,30,10,10
Phim Điện Ảnh,60,50,15,50,15,10,10,50
Địa Điểm Gần Đây,55,45,10,20,10,10,5,5
Phim Truyền Hình,15,15,10,10,5,10,5,10
Những Câu Hỏi Nổi Bật,15,15,5,5,5,5,5,5
Du Lịch Trong Nước,65,55,30,25,5,20,5,20
Búsquedas 2020,30,25,15,20,15,15,20,15
Dónde,15,5,15,5,5,5,5,5
En casa,110,15,15,15,15,15,15,15
News Topics,45,5,5,5,5,5,5,5
Australian Public Figures,20,10,15,5,5,5,5,5
Global Public Figures,30,20,20,15,5,10,5,15
Corona-Suchbegriffe,50,15,5,10,45,5,10,10
Aufreger & Schlagzeilen,295,280,30,265,15,25,5,255
Suchanfragen nach Rezepten für...,20,5,15,5,5,5,10,5
Comment...?,90,10,65,5,15,5,5,5
Politici nationaal / Politiciens nationaux,60,35,30,25,25,30,5,5
Aprender...,20,15,5,10,10,5,5,10
Campeonatos/Ligas esportivas,295,280,30,265,10,25,10,10
Em casa,40,10,35,5,5,5,5,5
Perguntas,40,30,15,25,25,10,30,25
Коронавирус,45,25,10,15,25,10,15,5
Рецепти,95,60,60,10,35,55,5,5
Season Finale,65,25,35,15,15,15,25,15
Workout,230,195,35,185,10,5,5,180
Definition,15,15,5,10,10,5,10,10
What...,35,20,15,15,10,15,5,10
L’année en recherches au Québec 2020,5,5,5,5,5,5,5,5
Top recherches - Nouvelles canadiennes 2020,35,15,25,15,10,15,5,5
Top recherches - Comment..? au Québec 2020,120,115,85,20,15,80,10,15
Top recherches de recettes au Québec 2020,15,10,5,10,10,5,10,5
Top recherches - Quand..? au Québec 2020,20,15,10,15,5,5,5,15
Top séries au Canada 2020,25,15,15,5,15,10,5,5
Tendencias 2020,45,35,30,35,30,30,30,35
Covid-19 en Colombia,25,15,15,10,10,5,10,10
Los que se fueron,75,55,35,30,45,35,25,25
"Novelas, series y programas de TV",55,20,20,15,20,20,20,15
¿Qué significa...?,40,25,20,20,10,15,25,15
COVID-19 en Costa Rica,145,10,145,10,5,10,15,5
"Música (artistas, canciones y grupos)",60,60,30,40,25,30,45,40
Mujeres 2020,45,25,20,25,10,10,10,10
Recepti,60,35,10,10,5,5,5,5
Aplikacije,10,5,10,5,5,5,10,5
Kako...?,15,5,10,5,5,5,5,5
České televizní pořady,25,15,20,15,10,10,10,10
Hjemmelavet...,105,70,75,10,10,70,30,5
Under juletræet,55,40,10,10,5,5,5,5
الأسئلة,35,5,35,5,5,5,5,5
المشاهير والشخصيات العامة,55,45,30,30,20,30,20,15
عمليات البحث الأكثر رواجاً,25,20,20,20,20,20,20,20
مباريات الدوري المصري لكرة القدم الأكثر رواجاً,30,5,5,5,10,5,15,5
Enim otsitud märksõnad,30,30,10,20,5,10,10,20
Filmid,30,15,5,10,10,5,10,5
Miten,45,25,10,10,10,10,15,5
Informations / Actualités,45,30,15,5,15,15,5,5
Coronavirus,35,25,20,25,20,20,20,20
A la maison,655,645,25,25,635,25,20,25
Coiffure,20,15,15,15,5,15,15,5
"Les ""comment"" ?",35,15,15,5,25,5,15,5
Les séries et programmes TV,45,15,5,5,35,5,30,5
Le sport,25,5,15,5,5,5,5,5
Paroles de chansons,135,35,10,10,100,5,5,10
Les célébrités,25,25,15,20,10,15,5,15
Chanteuses / Chanteurs / Musiciens,20,15,10,10,10,5,5,5
Disparitions,5,5,5,5,5,5,5,5
Corona,60,15,15,15,15,10,25,10
Wann-Fragen,30,10,10,5,5,5,10,5
Εκλιπούσες Διασημότητες,55,40,40,40,5,40,40,40
Αθλητικά γεγονότα,45,45,25,15,25,25,5,15
Επαναλαμβανόμενα γεγονότα,25,10,10,5,15,10,10,5
Κοντά μου...,90,15,45,10,40,5,10,5
Πού...,295,280,30,15,265,25,10,10
Πότε...,25,15,20,10,10,10,10,5
Τι είναι...,15,5,5,5,5,5,5,5
COVID-19 en Guatemala,35,30,5,30,10,5,5,30
"Novelas, series y programas TV",30,20,5,10,5,5,10,5
熱爆食譜搜尋,40,20,10,15,5,10,10,10
Koronavírus-járvány,60,35,10,35,5,5,10,10
Oktatás,35,35,5,30,5,5,10,10
Keresett kütyük,35,25,5,20,10,5,10,5
TV/Web Series,55,50,20,30,5,15,5,15
Film / TV Series,30,25,20,25,5,15,5,25
Lirik Lagu,60,15,15,15,5,10,25,5
Siapa...,20,5,5,5,15,5,5,5
הלכו לעולמם השנה,135,25,110,10,20,10,25,10
מילים של שירים,25,10,10,10,15,10,10,5
עשרת הגדולים 2020,150,40,25,35,5,10,5,30
פוליטיקה,30,5,25,5,5,5,5,5
קורונה,355,45,310,20,10,5,310,10
תכניות ריאלטי,15,10,10,10,10,5,5,5
Persone,20,10,10,10,5,5,15,10
Addii,15,10,10,10,5,10,5,5
Coltivare,55,10,50,10,5,10,15,10
Come fare...?,80,65,15,55,5,10,5,5
Cosa significa...?,50,50,30,25,5,30,5,20
Fai-da-te (a casa),45,30,10,25,20,10,15,10
Fai-da-te (per la persona),25,5,10,5,20,5,5,5
Perché...?,20,20,5,15,5,5,15,15
Vicino a me...,10,10,10,10,5,10,5,5
マスク,45,40,40,40,5,40,5,40
人名,20,15,5,5,10,5,10,5
作り方,35,25,15,25,5,15,15,20
方法,35,20,20,20,15,10,5,10
再放送ドラマ,55,5,10,5,10,5,40,5
...дегеніміз не?/Что такое?,30,25,10,5,5,5,10,5
Trending General,15,15,5,15,15,5,5,5
Trending Health,25,15,5,10,5,5,5,5
Trending How To  (Tech),50,15,15,15,10,15,10,15
Trending How To (Cook),45,15,20,15,10,15,10,10
Trending How To (Health),65,20,35,5,5,5,10,5
Trending Musicians,30,25,5,10,10,5,20,10
"Populārākie ""Google"" meklējumi 2020. gadā",60,15,40,15,5,5,10,10
Receptes,35,25,10,20,20,5,5,20
Paieškos su žodžiu kaip,25,5,5,5,5,5,15,5
Receptai,40,20,10,15,10,5,10,5
Bantuan Kewangan,65,10,40,5,10,5,5,5
Covid-19,35,15,10,15,10,10,10,10
Hiburan,55,30,15,10,15,10,25,5
Programas y Series de TV,35,25,30,15,10,25,5,15
Waarom...?,20,10,5,5,5,5,5,5
Acteurs en actrices,395,40,20,30,10,5,345,15
Bakken,10,5,5,5,5,5,10,5
Films & series,70,50,20,20,5,5,30,15
Hoe maak je...?,40,10,15,10,15,10,5,10
Nederlandse artiesten,35,35,30,5,15,30,5,5
Nieuws,20,15,5,15,5,5,5,15
Overleden,25,10,5,5,20,5,5,5
Recepten,40,15,25,10,5,5,10,10
News Event,50,25,25,15,5,15,5,15
Movies / TV Shows,60,5,45,5,25,5,25,5
Top Search,30,30,25,10,10,25,5,5
Events / Occasions,25,15,5,5,15,5,10,5
Covid-19 en Panamá,35,20,15,5,15,15,10,5
Jak zrobić?,90,65,15,10,10,10,25,10
Politycy,125,80,40,35,10,40,10,5
Pomysł na,55,45,30,25,30,25,10,20
"Programas, Séries e Filmes",25,25,20,10,20,20,20,5
Covid-19 en Puerto Rico,5,5,5,5,5,5,5,5
Personajes  del año,30,10,5,10,5,5,5,10
Puertorriqueños,30,10,25,10,15,5,5,5
Cum să/se...?,40,15,20,10,10,5,5,5
Când...?,100,80,20,75,20,5,5,75
«Что такое...?»/«Что значит...?»,35,15,15,5,15,15,5,5
В домашних условиях,15,10,5,5,5,5,10,5
Путешествия по России («Что посмотреть в...?»),30,5,10,5,5,5,5,5
الأفلام والمسلسلات,295,280,30,265,15,25,10,10
Sportski događaji,30,20,10,10,10,10,5,5
Trending Deliveries,65,45,15,15,30,15,40,10
Trending How-Tos,25,25,15,20,10,15,5,15
Trending International Personalities,70,35,15,15,25,15,5,5
Trending Mental Health Queries,45,40,30,25,5,25,10,15
Trending Singapore Personalities,145,25,110,20,20,10,5,10
Trending Workouts,340,255,55,230,220,40,25,230
2020,30,20,10,15,10,10,10,10
Top trending personalities - Loss,70,10,30,10,20,5,10,5
Top trending political figures,30,20,10,15,5,5,5,5
Top trending travel searches,30,15,15,5,5,5,10,5
Top trending ‘near me’ searches,20,20,10,20,5,10,10,20
뉴스/사회,20,15,5,15,5,5,5,15
드라마/예능,25,5,5,5,25,5,5,5
코로나19,55,35,20,30,35,5,5,30
Educación,15,10,5,5,10,5,5,5
¿Por qué...?,25,5,5,5,25,5,25,5
"Cine, tv y series",5,5,5,5,5,5,5,5
Hur?,10,5,10,5,5,5,10,5
Nyheter & Händelser,20,10,10,5,15,10,5,5
Underhållning,75,65,5,10,5,5,10,5
Årets mest trendande sökningar 2020,45,40,20,25,25,20,10,10
Persönlichkeiten International,30,25,5,5,5,5,5,5
Selber machen,30,30,25,30,25,25,5,25
คำค้นหาประจำปี 2563,50,35,10,10,35,10,10,10
ข่าว,30,15,5,5,10,5,5,5
เรียน,50,20,20,15,5,15,30,5
ที่เที่ยว,20,10,10,10,5,5,5,5
ประเภทร้าน,35,30,10,15,10,10,10,10
ร้านอาหาร/ร้านขนม,75,65,10,10,60,10,10,5
ออนไลน์,35,20,15,5,5,5,10,5
Aramalar,40,20,20,5,10,10,5,5
İsimler,45,40,5,15,15,5,10,5
Kaybettiklerimiz,150,40,25,5,10,10,5,5
Nasıl,60,20,15,15,15,10,10,10
Tarif,45,45,5,30,5,5,20,10
"Питання: “Що таке?/Что такое?""",35,20,5,15,10,5,5,10
Covid-19 Related Queries,10,5,5,5,5,5,5,5
Public Figures & Celebrities,15,15,5,5,5,5,5,5
Top trending Cricket Matches,35,35,10,30,30,10,5,5
Top Trending Queries,45,20,5,10,5,5,5,5
Trending News & Events,35,35,5,25,20,5,5,10
Top questions,40,10,15,5,5,5,5,5
Delivery,30,15,30,15,15,15,5,15
When...?,70,50,40,15,15,40,5,15
Beauty how to's,20,10,5,10,5,5,5,5
Definitions,150,115,135,105,10,110,20,5
How to donate...,30,25,5,25,20,5,5,10
How to help...,30,20,10,10,5,10,10,10
How to make...,20,5,10,5,5,5,10,5
How to style...,45,20,5,10,15,5,5,10
Virtual,10,5,10,5,5,5,5,5
Where to buy...,80,65,50,55,55,50,10,50
... during coronavirus,5,5,5,5,5,5,5,5
Dónde...,15,10,10,10,5,5,5,10
Quién...,75,10,35,5,5,5,5,5
Xu Hướng Tìm Kiếm Nổi Bật Nhất,35,15,10,15,15,5,5,15
Trực Tuyến,25,15,5,15,10,5,10,10
Học Tập Trực Tuyến,15,10,5,10,5,5,5,5
Phim Bộ,45,35,30,10,15,25,5,5
Ở Đâu?,30,10,5,5,5,5,25,5
Gần Đây,15,5,5,5,5,5,5,5
Cách Làm,10,10,5,5,5,5,5,5
Như Thế Nào?,30,30,10,25,10,10,10,10
Là Gì?,45,30,30,30,10,30,5,5
